,x,sin,tanh,possion
0,1.0,0.8414709848078965,0.7615941559557649,0.36787944117144233
1,2.0,0.9092974268256817,0.9640275800758169,0.1353352832366127
2,3.0,0.1411200080598672,0.9950547536867305,0.049787068367863944
3,4.0,-0.7568024953079282,0.999329299739067,0.01831563888873418
4,5.0,-0.9589242746631385,0.9999092042625951,0.006737946999085467
5,6.0,-0.27941549819892586,0.9999877116507956,0.0024787521766663585
6,7.0,0.6569865987187891,0.9999983369439447,0.0009118819655545162
7,8.0,0.9893582466233818,0.9999997749296758,0.00033546262790251185
8,9.0,0.4121184852417566,0.999999969540041,0.00012340980408667956
9,10.0,-0.5440211108893698,0.9999999958776927,4.5399929762484854e-05
10,11.0,-0.9999902065507035,0.9999999994421064,1.670170079024566e-05
11,12.0,-0.5365729180004349,0.9999999999244973,6.14421235332821e-06
12,13.0,0.4201670368266409,0.9999999999897818,2.2603294069810542e-06
13,14.0,0.9906073556948704,0.9999999999986171,8.315287191035679e-07
14,15.0,0.6502878401571168,0.9999999999998128,3.059023205018258e-07
15,16.0,-0.2879033166650653,0.9999999999999747,1.1253517471925912e-07
16,17.0,-0.9613974918795568,0.9999999999999966,4.139937718785167e-08
17,18.0,-0.7509872467716762,0.9999999999999996,1.522997974471263e-08
18,19.0,0.14987720966295234,0.9999999999999999,5.602796437537268e-09
19,20.0,0.9129452507276277,1.0,2.061153622438558e-09
